    0.293044209480285645E+01    0.784898221492767334E+01    0.117700684070587158E+02   -0.393854737281799316E+01    0.900229573249816895E+01    0.157076930999755859E+02    0.495285153388977051E+01    0.642973482608795166E+01    0.127016317844390869E+02   -0.399437705794591370E+11   -0.391195633965034517E+01    1
   -0.137552499771118164E+01    0.836383223533630371E+01    0.852054953575134277E+01    0.523089051246643066E+01    0.663568198680877686E+01    0.801947832107543945E+01    0.318630099296569824E+01    0.660544097423553467E+01    0.128592073917388916E+02   -0.320082236517634010E+11   -0.393195633965034208E+01    1
    0.604344606399536133E+00    0.934550523757934570E+01    0.249488711357116699E+01    0.247355580329895020E+01    0.623789966106414795E+01    0.106933450698852539E+02    0.748451948165893555E+01    0.780564725399017334E+01    0.888733148574829102E+01   -0.287419215213073921E+11   -0.395195633965034165E+01    1
    0.407314658164978027E+01    0.806177437305450439E+01    0.660005331039428711E+01   -0.894855141639709473E+01    0.502674221992492676E+01    0.106815385818481445E+02    0.482951879501342773E+01    0.934067726135253906E+01    0.608885645866394043E+01   -0.284213230335434341E+11   -0.397195633965034300E+01    1
   -0.585279464721679688E+01    0.734229981899261475E+01    0.652004361152648926E+01    0.181327104568481445E+01    0.984404802322387695E+01    0.119482636451721191E+02   -0.172568082809448242E+01    0.658291578292846680E+01    0.768791437149047852E+01   -0.262983600803631744E+11   -0.399195633965034391E+01    1
   -0.585887432098388672E+00    0.169758796691894531E+01    0.596829891204833984E+01    0.161025524139404297E+00    0.912322163581848145E+01    0.885588407516479492E+01   -0.633440494537353516E+01    0.771712839603424072E+01    0.185798060894012451E+02   -0.214802204769631882E+11   -0.401195633965034215E+01    1
    0.869027018547058105E+01    0.974283754825592041E+01    0.161317121982574463E+02    0.758321404457092285E+01    0.735731422901153564E+01    0.751047492027282715E+01   -0.213581442832946777E+01    0.221845507621765137E+01    0.124609792232513428E+02   -0.211470583845255585E+11   -0.403195633965034173E+01    1
    0.963833332061767578E+01    0.198840200901031494E+01    0.121155524253845215E+02   -0.655124783515930176E+01    0.918741762638092041E+01    0.106407439708709717E+02    0.296951413154602051E+01    0.878013908863067627E+01    0.139019012451171875E+02   -0.206385331437834244E+11   -0.405195633965034396E+01    1
    0.182293653488159180E+00    0.300152719020843506E+01    0.760544538497924805E+00   -0.607551336288452148E+00    0.760431766510009766E+01    0.160533320903778076E+02    0.306462645530700684E+01    0.935279369354248047E+01    0.109436762332916260E+02   -0.205420360415732498E+11   -0.407195633965034443E+01    1
    0.618572115898132324E+01    0.307483553886413574E+01    0.124730110168457031E+02   -0.980444908142089844E+01    0.989398479461669922E+01    0.112565267086029053E+02    0.263688921928405762E+01    0.784575223922729492E+01    0.140908062458038330E+02   -0.189471669879585724E+11   -0.409195633965034400E+01    1
