    0.507426544284667713E+00    0.901182345930767958E+00    0.232298996070482699E+01   -0.344798602071483838E+05
    0.508006842724581631E+00    0.901443885825176205E+00    0.232101556890782534E+01   -0.344790483186734200E+05
    0.505281054253215345E+00    0.901628479460688914E+00    0.232297802565554390E+01   -0.344789990180344394E+05
    0.505535935987488472E+00    0.901503555982349103E+00    0.232328238153687749E+01   -0.344787383066565308E+05
    0.505159727242737944E+00    0.901602773521169576E+00    0.232332294809360373E+01   -0.344783079164615192E+05
    0.508288679858875270E+00    0.901507227358141705E+00    0.232064168981459451E+01   -0.344782424458588139E+05
    0.509393329761964608E+00    0.901883037062899295E+00    0.231827139180365016E+01   -0.344780083361775905E+05
    0.508538725187179352E+00    0.901533510644222380E+00    0.232120036922343687E+01   -0.344779124359602938E+05
    0.506964640401250222E+00    0.901757389627213746E+00    0.232080906652223184E+01   -0.344778964628387912E+05
    0.509409675653756722E+00    0.901697315817725054E+00    0.231935106086694898E+01   -0.344773396042027816E+05
    0.510156639899344455E+00    0.902020301536692104E+00    0.231751522794845632E+01   -0.344771301167453639E+05
    0.508109075670788002E+00    0.901551368529596830E+00    0.232152121502147413E+01   -0.344769466562342568E+05
    0.509005554006842331E+00    0.901757017011483697E+00    0.232015078529770369E+01   -0.344768709455877470E+05
    0.506174424145555690E+00    0.901527255252086435E+00    0.232284711035814118E+01   -0.344766252826251366E+05
    0.507379183145534540E+00    0.901858976496968778E+00    0.232015754709759481E+01   -0.344765985298495361E+05
    0.507695726117576740E+00    0.901757285736445535E+00    0.232029578951229976E+01   -0.344765233018607978E+05
    0.507518770826484555E+00    0.901761035635005315E+00    0.232043954457499835E+01   -0.344765012289389269E+05
    0.509261491594230620E+00    0.901771059884569626E+00    0.231940014290011964E+01   -0.344762929943986383E+05
    0.508945622035332335E+00    0.901748214920957802E+00    0.232007765418736600E+01   -0.344762427758070262E+05
    0.509139370407725167E+00    0.901828687152561703E+00    0.231899379629176972E+01   -0.344762120452027229E+05
    0.506911787608196107E+00    0.901504159798634963E+00    0.232243837460151559E+01   -0.344761671529396481E+05
    0.506913088782717125E+00    0.901744259905483680E+00    0.232112180552954728E+01   -0.344761374127644740E+05
    0.507360101995706358E+00    0.901771320591786330E+00    0.232060581767373897E+01   -0.344760107735113488E+05
    0.508674592779739143E+00    0.901833062990488044E+00    0.231932649211353548E+01   -0.344757658498289675E+05
    0.507885359265589642E+00    0.901603334745092466E+00    0.232115263495351076E+01   -0.344756855442026499E+05
    0.507618318601208429E+00    0.901684768061617459E+00    0.232082929703324492E+01   -0.344756754701971804E+05
    0.509236320096050576E+00    0.901932428228221061E+00    0.231857217859018494E+01   -0.344756666139361114E+05
    0.507417453617584613E+00    0.901851977860836040E+00    0.232026549788679581E+01   -0.344756398997132055E+05
    0.506599295768175750E+00    0.901886382553312549E+00    0.232090363602744665E+01   -0.344755825345694466E+05
    0.508807302931099770E+00    0.901784754921601928E+00    0.232005481192550622E+01   -0.344754877358817248E+05
    0.508743023740418465E+00    0.901946532799950518E+00    0.231884067212842337E+01   -0.344754082428241236E+05
    0.508508896823656187E+00    0.901742103413358143E+00    0.232008920763947213E+01   -0.344752091869150026E+05
    0.508150915452246110E+00    0.901896477025106114E+00    0.231952551733809509E+01   -0.344751671167871827E+05
    0.509143768870309543E+00    0.901910504284806791E+00    0.231887255869676956E+01   -0.344751533272243323E+05
    0.507529544155287837E+00    0.901833397970046358E+00    0.232031708051743291E+01   -0.344751221907015643E+05
    0.506926073166201974E+00    0.901784461484941069E+00    0.232109199216142414E+01   -0.344750535850529704E+05
    0.507662223202132168E+00    0.901734943880647122E+00    0.232067949100631221E+01   -0.344750377988525506E+05
