Nested Sampling Global Log-Evidence           :   -0.379443846025096221E+02  +/-    0.984832863870980568E+00

Dim No.       Mean        Sigma
   1    0.141171793666694523E+01    0.203173329049104222E-02
   2    0.764664195088664789E+00    0.154939623751548274E-02
   3    0.894650385308396578E+00    0.216214597773559244E-02
   4   -0.136050934704487092E+00    0.549322042728726204E-02
   5    0.154309591526360990E+01    0.134987548752529569E-02
   6    0.509858906813862056E+01    0.104300388008117494E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.141256056609408809E+01
   2    0.764586026110243289E+00
   3    0.893483253694513757E+00
   4   -0.136886559814859865E+00
   5    0.154370209185046403E+01
   6    0.509728193497998205E+01

MAP Parameters
Dim No.        Parameter
   1    0.141256056609408809E+01
   2    0.764586026110243289E+00
   3    0.893483253694513757E+00
   4   -0.136886559814859865E+00
   5    0.154370209185046403E+01
   6    0.509728193497998205E+01
