    0.800221439562925241E+00    0.912296500934815624E+00    0.195170217251215172E+01   -0.429379910688715150E+01    0.112064749491471316E+01    0.152696909935522207E+02   -0.214775657203916671E+05
    0.799802482619053734E+00    0.912255022225809564E+00    0.194834960174653826E+01   -0.425624418730484866E+01    0.112056117777119013E+01    0.152721927385213299E+02   -0.214774002393583360E+05
    0.798652704215554010E+00    0.912334552170172008E+00    0.194817157616006598E+01   -0.424221807792032646E+01    0.112137422406749199E+01    0.152198684691859185E+02   -0.214771058404805990E+05
    0.799246892773444628E+00    0.912321162300127719E+00    0.195044006338462150E+01   -0.424865055701641303E+01    0.112063556769333528E+01    0.152177442420037075E+02   -0.214769753678827619E+05
    0.799907286141435137E+00    0.912222268059032504E+00    0.194995247067444222E+01   -0.426927504484536069E+01    0.112075260285663592E+01    0.152596512851502695E+02   -0.214766593000860303E+05
    0.800189578988408812E+00    0.912452341568349978E+00    0.195162445991705003E+01   -0.430838190100240492E+01    0.112097812267628183E+01    0.152854820708827859E+02   -0.214766521183662480E+05
    0.799703700776037252E+00    0.912199288185055024E+00    0.194967315820475529E+01   -0.423128651290940461E+01    0.112020399858370467E+01    0.152242590179901391E+02   -0.214764316560697080E+05
    0.800770235903563332E+00    0.912182993779332651E+00    0.195245288223372149E+01   -0.427711665082895909E+01    0.112009626977046106E+01    0.152571011576366384E+02   -0.214762682296276544E+05
    0.801019195203805268E+00    0.912437573773643651E+00    0.194615722779061473E+01   -0.428104861777926438E+01    0.112017817072689740E+01    0.153667022113385698E+02   -0.214761623617004843E+05
    0.799670658166114379E+00    0.912081771814179487E+00    0.194425896241812879E+01   -0.423471458251364474E+01    0.112105162625222743E+01    0.152928629856138532E+02   -0.214756552256655195E+05
    0.799801963623856693E+00    0.912268481664399999E+00    0.195191631572852975E+01   -0.425407587847051882E+01    0.112036326102414874E+01    0.152148449527979341E+02   -0.214756542157645017E+05
    0.800626888009738025E+00    0.912429557394512480E+00    0.194727038413745857E+01   -0.427538561184791366E+01    0.112026594029293425E+01    0.153348060603864802E+02   -0.214756198819343990E+05
